Time,Hip x,Hip y,Hip likelihood,Knee x,Knee y,Knee likelihood,Ankle x,Ankle y,Ankle likelihood,Heel (ventral) x,Heel (ventral) y,Heel (ventral) likelihood,Instep (dorsal) x,Instep (dorsal) y,Instep (dorsal) likelihood,"Toe 1 (Proximal “Thumb"") x","Toe 1 (Proximal “Thumb"") y","Toe 1 (Proximal “Thumb"") likelihood",Toe 2 x,Toe 2 y,Toe 2 likelihood,Toe 3 (Middle) x,Toe 3 (Middle) y,Toe 3 (Middle) likelihood,Toe 4 x,Toe 4 y,Toe 4 likelihood,"Toe 5 (Distal “Pinky"") x","Toe 5 (Distal “Pinky"") y","Toe 5 (Distal “Pinky"") likelihood"
0,907.364013671875,323.4490966796880,0.5081897377967830,565.0531005859380,597.2827758789060,0.9799742698669430,568.7477416992190,808.3519287109380,0.9733057618141170,572.1815795898440,874.2293090820310,0.9956346154212950,467.49261474609400,840.2789306640630,0.9821180105209350,351.7272644042970,883.8667602539060,0.11009692400693900,314.97418212890600,887.8173828125,0.02847273275256160,274.8136901855470,859.698486328125,0.9751876592636110,262.77093505859400,881.0994873046880,0.9958668947219850,332.99945068359400,906.1405029296880,0.9818925857543950
1,907.364013671875,323.4490966796880,0.5155567526817320,565.2391967773440,597.2827758789060,0.9798895120620730,568.7477416992190,808.3519287109380,0.9728562831878660,572.1815795898440,874.2293090820310,0.9955552220344540,467.6872253417970,840.2789306640630,0.9822824597358700,351.7272644042970,883.8667602539060,0.10632311552763000,314.97418212890600,887.8173828125,0.027890363708138500,274.8136901855470,859.698486328125,0.979010820388794,262.95745849609400,881.0994873046880,0.9960606098175050,333.0439147949220,906.1405029296880,0.9829649329185490
2,907.364013671875,323.4490966796880,0.5303005576133730,565.2391967773440,597.2827758789060,0.979608416557312,568.7477416992190,809.2142944335940,0.9731395840644840,572.1815795898440,874.2293090820310,0.9961245656013490,467.91131591796900,840.2789306640630,0.9876036643981930,351.7272644042970,883.8667602539060,0.1264401525259020,314.97418212890600,887.8173828125,0.01833825744688510,274.8136901855470,859.698486328125,0.982069194316864,262.95745849609400,881.0994873046880,0.9957892298698430,333.0439147949220,906.1405029296880,0.9917268753051760
3,906.95556640625,323.22900390625,0.5058650970458980,565.0531005859380,596.8486328125,0.9790090918540960,568.6013793945310,808.5585327148440,0.9724745154380800,571.9566040039060,873.2874755859380,0.9966082572937010,467.91131591796900,839.2520141601560,0.9894043207168580,351.656005859375,883.5439453125,0.09795437753200530,314.94329833984400,887.388916015625,0.01562921330332760,274.7816162109380,858.2886352539060,0.9864229559898380,262.8458557128910,880.3546752929690,0.9935811758041380,332.99945068359400,905.3298950195310,0.9931339621543880
4,902.3330078125,316.1751403808590,0.5016536116600040,565.0178833007810,596.6856079101560,0.9787535667419430,567.276611328125,808.5585327148440,0.9723553657531740,571.9475708007810,873.258056640625,0.9965826869010930,467.91131591796900,839.2520141601560,0.9888737201690670,351.4842529296880,883.5439453125,0.10199601203203200,314.8193054199220,887.0039672851560,0.014328976161778000,274.76611328125,858.2627563476560,0.986793577671051,262.77093505859400,880.2807006835940,0.9936574101448060,332.819091796875,905.3057250976560,0.9935065507888790
5,902.2285766601560,316.1751403808590,0.5042981505393980,564.895751953125,596.6856079101560,0.9787004590034490,567.1256103515630,809.1555786132810,0.9737553596496580,571.6656494140630,873.258056640625,0.9968917965888980,467.65789794921900,839.2520141601560,0.9881028532981870,351.22869873046900,883.5439453125,0.09882861375808720,314.6142578125,886.982666015625,0.013691172003746000,274.72125244140600,858.1881103515630,0.9893714189529420,262.8458557128910,880.0215454101560,0.9924430847167970,332.5740051269530,905.3057250976560,0.9953691959381100
6,902.1185913085940,316.1751403808590,0.5006529092788700,564.8682250976560,596.6856079101560,0.9786591529846190,567.1220703125,809.1988525390630,0.9746119976043700,571.6319580078130,873.2874755859380,0.9971891045570370,467.656494140625,839.2529907226560,0.9868611693382260,351.22869873046900,883.632568359375,0.11098012328147900,314.59136962890600,886.982666015625,0.012712538242340100,274.611572265625,858.1859741210940,0.9879136681556700,262.7325134277340,879.8717041015630,0.9928459525108340,332.5057678222660,905.3298950195310,0.9946316480636600
7,902.10595703125,316.4755859375,0.49592968821525600,564.7190551757810,596.6416625976560,0.9789977669715880,567.0257568359380,809.1555786132810,0.9741309881210330,571.6319580078130,873.449462890625,0.9971002340316770,467.6424560546880,839.3673095703130,0.9865670204162600,351.22869873046900,883.6747436523440,0.1081351488828660,314.5672607421880,886.8870239257810,0.012951387092471100,274.5984191894530,858.168212890625,0.9876020550727840,262.7325134277340,879.8453369140630,0.9931209087371830,332.5025329589840,905.4247436523440,0.9942652583122250
8,902.0076904296880,316.50811767578100,0.49246808886528000,564.7190551757810,596.6416625976560,0.979109525680542,567.0257568359380,809.1555786132810,0.9737870693206790,571.6319580078130,873.449462890625,0.9969549179077150,467.6424560546880,839.3673095703130,0.9863107204437260,351.22869873046900,883.6747436523440,0.10172057151794400,314.5672607421880,886.8870239257810,0.013095359317958400,274.5971374511720,858.168212890625,0.9868934154510500,262.7325134277340,879.8453369140630,0.9931374788284300,332.5025329589840,905.4247436523440,0.9942768216133120
9,901.9342041015630,316.50811767578100,0.49201253056526200,564.6973876953130,596.5404663085940,0.9787507057189940,567.1220703125,809.0165405273440,0.974953293800354,571.5838623046880,873.449462890625,0.9970561265945440,467.5649719238280,839.3673095703130,0.986850380897522,351.22869873046900,883.632568359375,0.09631658345460890,314.53857421875,886.8679809570310,0.011689987033605600,274.5516357421880,858.0401000976560,0.9885218143463140,262.81146240234400,879.8157958984380,0.9931091070175170,332.3707275390630,905.4247436523440,0.99442058801651
