scorer,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000,DLC_resnet50_PNS TrialJan14shuffle1_3000
bodyparts,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,"Toe 1 (Proximal ""Thumb"")","Toe 1 (Proximal ""Thumb"")","Toe 1 (Proximal ""Thumb"")",Toe 2,Toe 2,Toe 2,Toe 3 (Middle),Toe 3 (Middle),Toe 3 (Middle),Toe 4,Toe 4,Toe 4,"Toe 5 (Distal ""Pinky"")","Toe 5 (Distal ""Pinky"")","Toe 5 (Distal ""Pinky"")"
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,667.3585815429688,272.2668151855469,0.7826368808746338,756.7527465820312,227.02853393554688,0.9484879970550537,749.0232543945312,275.7966613769531,0.6014630794525146,739.3614501953125,304.264404296875,0.7091651558876038,741.4610595703125,320.96484375,0.7535500526428223,722.3923950195312,334.3296203613281,0.7146191596984863,721.688232421875,328.5613098144531,0.8613902926445007,731.1860961914062,319.2295837402344,0.936469316482544
1,667.3585815429688,272.2668151855469,0.7709348797798157,756.7527465820312,227.02853393554688,0.9378308653831482,749.4616088867188,276.2884826660156,0.6789340376853943,739.3614501953125,305.3956604003906,0.6527500152587891,742.1700439453125,320.9775085449219,0.7499212622642517,722.3923950195312,337.3007507324219,0.7788388729095459,722.4927368164062,328.9123840332031,0.9364854693412781,732.1122436523438,322.06805419921875,0.9509871006011963
2,667.3784790039062,272.2668151855469,0.7548725008964539,756.7527465820312,227.02853393554688,0.9192309975624084,749.4616088867188,276.2884826660156,0.8465224504470825,739.8682861328125,306.66864013671875,0.6372165083885193,743.3191528320312,321.6416320800781,0.7247602343559265,724.68310546875,339.13275146484375,0.7469775080680847,723.937255859375,329.88507080078125,0.9191624522209167,732.442626953125,323.3783874511719,0.9487940669059753
3,667.3878784179688,272.2668151855469,0.7825767397880554,756.7527465820312,227.02853393554688,0.8462495803833008,753.3148193359375,276.2884826660156,0.5780786871910095,739.8682861328125,306.9335632324219,0.7174676656723022,743.0265502929688,322.4012145996094,0.7123984694480896,724.68310546875,340.0997009277344,0.7291572690010071,723.5856323242188,329.9377746582031,0.9302704930305481,732.442626953125,324.0277404785156,0.9614081382751465
4,667.5833129882812,272.2668151855469,0.776545524597168,757.9473876953125,228.0785675048828,0.8351479768753052,753.3148193359375,276.68804931640625,0.5483804941177368,739.3614501953125,307.3224792480469,0.7071425914764404,742.1700439453125,322.4012145996094,0.6037618517875671,722.3923950195312,340.0997009277344,0.7403571605682373,722.4927368164062,329.9377746582031,0.9237096309661865,732.1122436523438,324.0277404785156,0.9472372531890869
5,667.44873046875,272.2210388183594,0.770150899887085,755.9739990234375,226.01681518554688,0.9436628818511963,748.2158813476562,275.9534912109375,0.6649348735809326,740.5213623046875,307.87872314453125,0.7072145342826843,743.0265502929688,322.4012145996094,0.5778988003730774,724.5947265625,340.0997009277344,0.7892712950706482,722.6668701171875,334.7034912109375,0.9335424304008484,732.8629760742188,325.3219299316406,0.9424679279327393
6,667.5833129882812,272.63226318359375,0.7570626139640808,755.9739990234375,225.29534912109375,0.955230712890625,740.160888671875,257.3481750488281,0.9280433654785156,741.6791381835938,311.513671875,0.6631482243537903,743.3191528320312,320.2624206542969,0.5953643918037415,724.5947265625,340.1159973144531,0.7529264688491821,722.6668701171875,334.9049987792969,0.9356768727302551,732.9629516601562,325.3219299316406,0.9665716886520386
7,667.5833129882812,272.63226318359375,0.7823953628540039,757.9473876953125,228.0785675048828,0.7494060397148132,748.2158813476562,275.9534912109375,0.7302621006965637,741.6791381835938,312.09765625,0.5803824663162231,743.0265502929688,320.2624206542969,0.48817744851112366,723.4385986328125,340.4681396484375,0.6636200547218323,722.6415405273438,336.2197265625,0.919396162033081,732.8629760742188,325.08123779296875,0.8519164323806763
