Time,Hip x,Hip y,Hip likelihood,Knee x,Knee y,Knee likelihood,Ankle x,Ankle y,Ankle likelihood,Heel (ventral) x,Heel (ventral) y,Heel (ventral) likelihood,Instep (dorsal) x,Instep (dorsal) y,Instep (dorsal) likelihood,Toe 1 (Proximal Thumb) x,Toe 1 (Proximal Thumb) y,Toe 1 (Proximal Thumb) likelihood,Toe 2 x,Toe 2 y,Toe 2 likelihood,Toe 3 (Middle) x,Toe 3 (Middle) y,Toe 3 (Middle) likelihood,Toe 4 x,Toe 4 y,Toe 4 likelihood,Toe 5 (Distal Pinky) x,Toe 5 (Distal Pinky) y,Toe 5 (Distal Pinky) likelihood
0,900.8163452148440,314.45904541015600,0.4833564758300780,558.2183837890630,592.7177734375,0.9576284885406490,554.0432739257810,804.3580932617190,0.9751012921333310,559.9298095703130,870.8158569335940,0.997893750667572,453.7564392089840,840.4183959960940,0.9801326990127560,378.9316101074220,908.7764282226560,0.10679250955581700,310.0268249511720,916.6712036132810,0.016198717057704900,272.1250305175780,877.3030395507810,0.8564950823783880,262.5421142578130,897.484130859375,0.9985799789428710,324.6948547363280,920.2841796875,0.9989334940910340
1,905.9874267578130,314.8141174316410,0.5038410425186160,558.27783203125,592.7902221679690,0.9581606984138490,554.0432739257810,804.3580932617190,0.9747387170791630,559.9298095703130,870.8158569335940,0.9978941082954410,453.7669372558590,840.440185546875,0.9802456498146060,378.9469299316410,908.7764282226560,0.1066831722855570,310.0268249511720,916.6881713867190,0.0162662323564291,272.2035827636720,877.3030395507810,0.8539065718650820,262.55426025390600,897.484130859375,0.9985654950141910,324.6948547363280,920.322998046875,0.9989242553710940
2,906.0021362304690,315.1627197265630,0.5169592499732970,558.3129272460940,592.8504638671880,0.9588273763656620,554.0432739257810,804.361572265625,0.9742383360862730,559.9298095703130,870.8158569335940,0.997878909111023,453.7669372558590,840.440185546875,0.9804198145866390,378.96392822265600,908.7764282226560,0.10506812483072300,310.0355529785160,916.6927490234380,0.016256557777524000,272.29248046875,877.3030395507810,0.8533384799957280,262.55426025390600,897.484130859375,0.9985674023628240,324.6948547363280,920.322998046875,0.9989137649536130
3,906.0021362304690,315.32208251953100,0.5343488454818730,558.3342895507810,592.8504638671880,0.9592151641845700,554.0432739257810,804.3580932617190,0.9736270308494570,559.9126586914060,870.7950439453130,0.9978860020637510,453.77008056640600,840.440185546875,0.9805452823638920,378.96392822265600,908.6986083984380,0.1015937402844430,310.05023193359400,916.7160034179690,0.016247689723968500,272.3085021972660,877.285400390625,0.8522292971611020,262.55426025390600,897.46337890625,0.9985573887825010,324.68133544921900,920.2841796875,0.9989203214645390
4,906.0021362304690,315.32208251953100,0.4951435923576360,558.3610229492190,592.8504638671880,0.9587636590003970,554.0432739257810,804.3460083007810,0.9734100103378300,559.8848266601560,870.7655029296880,0.9978893399238590,453.7669372558590,840.43505859375,0.9808518290519710,378.96392822265600,908.6194458007810,0.10040882974863100,310.05224609375,916.7160034179690,0.01581287942826750,272.3085021972660,877.285400390625,0.8507888913154600,262.550537109375,897.4328002929690,0.9985344409942630,324.6181335449220,920.2157592773440,0.9988979697227480
5,900.8439331054690,315.4842224121090,0.48542073369026200,558.3610229492190,591.9689331054690,0.9490604996681210,554.055908203125,804.041748046875,0.9749900698661800,559.7811279296880,870.6273803710940,0.9979519248008730,453.76483154296900,840.052978515625,0.9840314984321590,379.008056640625,908.1356201171880,0.10320776700973500,310.1865234375,916.7177124023440,0.015158602967858300,272.3085021972660,877.285400390625,0.8420093655586240,262.45648193359400,897.3755493164060,0.9984419941902160,324.43841552734400,919.9805297851560,0.998892605304718
6,900.6105346679690,315.56744384765600,0.49442800879478500,558.5556640625,591.8721923828130,0.9513558745384220,554.0885009765630,803.5565795898440,0.9753711223602300,559.5853271484380,870.2825317382810,0.9975507855415340,453.66326904296900,839.7241821289060,0.9857030510902410,379.16583251953100,907.6644287109380,0.12195512652397200,310.3470153808590,916.7218017578130,0.011060424149036400,272.20599365234400,877.2107543945310,0.8268235921859740,262.1979675292970,897.1710815429690,0.9982213377952580,324.3749084472660,919.5130004882810,0.9987505674362180
7,900.5601806640630,315.6460876464840,0.48582690954208400,558.969482421875,588.6392211914060,0.9526700973510740,554.2115478515630,803.2540893554690,0.9754509925842290,559.5823974609380,870.17919921875,0.9975453615188600,453.6300964355470,839.6080322265630,0.985249936580658,379.3149719238280,907.4114990234380,0.11762797832489000,310.3875732421880,916.7296142578130,0.01255093514919280,272.20599365234400,876.9170532226560,0.8216513395309450,262.0842590332030,897.1032104492190,0.9981361031532290,324.3749084472660,919.4677734375,0.9988683462142940
8,900.5425415039060,315.77972412109400,0.48395293951034500,559.1320190429690,588.4442138671880,0.9480656385421750,554.4411010742190,803.2310791015630,0.9759947061538700,559.5823974609380,870.1724853515630,0.9976980090141300,453.6300964355470,839.6009521484380,0.9841973185539250,379.3651428222660,907.2072143554690,0.10033885389566400,310.4121398925780,916.7223510742190,0.013238337822258500,272.20599365234400,876.7474975585940,0.8363108038902280,262.0842590332030,897.069091796875,0.9983810186386110,324.3749084472660,919.4002685546880,0.9988622665405270
9,900.5425415039060,315.80340576171900,0.4801078736782070,559.1320190429690,588.4442138671880,0.9492954611778260,554.4411010742190,803.2540893554690,0.976099967956543,559.5853271484380,870.17919921875,0.9977272152900700,453.6548767089840,839.6009521484380,0.9847115278244020,379.36865234375,907.302734375,0.11000660061836200,310.4121398925780,916.7223510742190,0.012424241751432400,272.20599365234400,876.7474975585940,0.8293133974075320,262.12457275390600,897.069091796875,0.9983134269714360,324.39630126953100,919.4002685546880,0.9988868832588200
